,basic,,,,,,,,,,,,central_tendencies,,,,,,dispersion,,,,,,Hypothesis Testing,,,,,,
,"Treatment, num_items","Treatment, sum","Treatment, percent_of_total_items","Treatment, percent_of_total_sum","Control, num_items","Control, sum","Control, percent_of_total_items","Control, percent_of_total_sum","All groups, num_items","All groups, sum","All groups, percent_of_total_items","All groups, percent_of_total_sum","Treatment, mean","Treatment, median","Control, mean","Control, median","All groups, mean","All groups, median","Treatment, range","Treatment, standard deviation","Control, range","Control, standard deviation","All groups, range","All groups, standard deviation","Treatment vs Control, Difference","Treatment vs Control, p_value","Treatment vs Control, percent_bias","Treatment vs Control, cohen's d effect size","Treatment vs Control, CLES","Treatment vs Control, CLES flipped (treatment=lesser)","Treatment vs Control, Wilcoxon rank-sum statistic"
Variable `score` in subset `All`,20670,3332715,2.0038001434748045,9.28772548453,1010870,32550290,97.9961998565252,90.7122745155,1031540,35883005.0,100.0,100.0,161.234397678,2.0,32.2002730321,1.0,34.7858590069,1.0,68543,1264.88711512,95159,386.636274147,95159.0,422.940548321,129.034124646,2.28105412176e-48,13.7965869554,0.30536728482,0.5056909541805011,0.31649293888063745,"RanksumsResult(statistic=46.639281237345713, pvalue=0.0)"
Variable `num_comments` in subset `All`,20670,394566,2.003413654034596,4.37017824022,1011069,8634036,97.99658634596541,95.6298217598,1031739,9028602.0,100.0,100.0,19.0888243832,1.0,8.53951214012,1.0,8.750858502,1.0,8533,149.639219555,33397,96.577635674,33397.0,97.9344868387,10.549312243,6.76222411881e-24,8.37680627755,0.107730324312,0.39764314635838716,0.40026606030025874,"RanksumsResult(statistic=-0.64657687896603999, pvalue=0.51790582599995361)"
Variable `day_of_week` in subset `All`,20670,60236,2.0030350778247445,2.01346813502,1011264,2931418,97.99696492217525,97.986531865,1031934,2991654.0,100.0,100.0,2.91417513304,3.0,2.89876629644,3.0,2.89907494084,3.0,6,1.97942667962,6,1.97262196143,6.0,1.97275967393,0.0154088366061,0.26788877191,0.779788669861,0.00781080738632,0.4305088202978984,0.42613708222990365,"RanksumsResult(statistic=1.0776831716494399, pvalue=0.28117517095320332)"
Variable `day_of_month` in subset `All`,20670,323450,2.0027109749917886,1.9856160244,1011431,15966205,97.99728902500821,98.0143839756,1032101,16289655.0,100.0,100.0,15.6482825351,16.0,15.7857580003,16.0,15.7830047641,16.0,30,8.74470747127,30,8.83513795493,30.0,8.83335697391,-0.137475465224,0.0252997240815,-1.5639915265,-0.0155632555538,0.47928513865310907,0.4883043330336305,"RanksumsResult(statistic=-2.2233377042207785, pvalue=0.026193036908915765)"
Variable `hour` in subset `All`,20670,236701,2.002342362763988,1.85285946985,1011621,12538202,97.99765763723602,98.1471405301,1032291,12774903.0,100.0,100.0,11.4514271892,12.0,12.3941693579,14.0,12.3752924321,14.0,23,7.21616852565,23,7.1716563007,23.0,7.17376592273,-0.942742168729,1.3933598935e-76,-13.1046585364,-0.131437512398,0.4439089790854462,0.513211170998278,"RanksumsResult(statistic=-17.083839150604579, pvalue=1.9580111300103747e-65)"
Variable `seconds_since_user_creation` in subset `All`,20670,39209601814,2.0019777641966567,0.193912710255,1011809,20181023389834,97.99802223580333,99.8060872897,1032479,2.02202329916e+13,100.0,100.0,1896932.84054,0.0,19945487.1323,0.0,19584159.0886,0.0,298693537,15038610.5372,359485253,42931369.1047,359485253.0,42627719.9932,-18048554.2917,0.0,-56.1112119955,-0.424146001611,0.020493838287848443,0.34332498951904056,"RanksumsResult(statistic=-79.58198100640297, pvalue=0.0)"
Variable `score` in subset `TIL`,10095,2973784,56.72623061362104,62.4293629937,7701,1789654,43.273769386378966,37.5706370063,17796,4763438.0,100.0,100.0,294.579891035,5.0,232.392416569,2.0,267.669026748,3.0,68543,1774.9916229,32401,1153.93789213,68543.0,1537.65566345,62.1874744659,0.00475383938977,4.15407043615,0.0404511648152,0.46137006836558986,0.4046915296759733,"RanksumsResult(statistic=6.4883249922736841, pvalue=8.6795898237827801e-11)"
Variable `num_comments` in subset `TIL`,10095,333976,56.67527509544128,58.5839556133,7717,236105,43.32472490455873,41.4160443867,17812,570081.0,100.0,100.0,33.0833085686,2.0,30.595438642,1.0,32.0054457669,1.0,8533,210.182840976,6154,205.603402763,8533.0,208.214827681,2.48786992664,0.428083299432,1.19663364548,0.0119487817596,0.464657555734453,0.3932935544361737,"RanksumsResult(statistic=8.1742647120885916, pvalue=2.9767562069808756e-16)"
Variable `day_of_week` in subset `TIL`,10095,29399,56.62123506646475,57.1898221997,7734,22007,43.37876493353525,42.8101778003,17829,51406.0,100.0,100.0,2.9122337791,3.0,2.84548745798,3.0,2.88328004936,3.0,6,1.95487070616,6,1.948601161,6.0,1.9524337715,0.0667463211208,0.0236227795537,3.41983943011,0.0341911228674,0.4377465282300688,0.41824615980100094,"RanksumsResult(statistic=2.2350282561760642, pvalue=0.025415493759660911)"
Variable `day_of_month` in subset `TIL`,10095,158305,56.573638197713514,56.4818250582,7749,121971,43.426361802286486,43.5181749418,17844,280276.0,100.0,100.0,15.6815255077,16.0,15.7402245451,16.0,15.707016364,16.0,30,8.75554931654,30,8.78816876165,30.0,8.76977792161,-0.0586990374255,0.657820629536,-0.66917326989,-0.00669336908992,0.481860165567386,0.48571395334463263,"RanksumsResult(statistic=-0.44194287671364046, pvalue=0.65853054264345756)"
Variable `hour` in subset `TIL`,10095,125672,56.52928659424348,56.2769244548,7763,97638,43.47071340575652,43.7230755452,17858,223310.0,100.0,100.0,12.4489351164,14.0,12.5773541157,14.0,12.5047597715,14.0,23,7.25399533678,23,7.22518584039,23.0,7.24176553552,-0.128418999283,0.239886091256,-1.77383988097,-0.0177337916755,0.47337925926804975,0.4815865278820674,"RanksumsResult(statistic=-0.9416698401508764, pvalue=0.34636170082101225)"
Variable `seconds_since_user_creation` in subset `TIL`,10095,15019540136,56.47552447552447,36.566483536,7780,26055068860,43.52447552447553,63.433516464,17875,41074608996.0,100.0,100.0,1487819.7262,0.0,3348980.57326,0.0,2297880.22355,0.0,259149782,12899322.3681,304281976,19756986.3847,304281976.0,16270073.4951,-1861160.84706,5.97984030246e-13,-11.1551699772,-0.114576083085,0.020318783892354253,0.052464135698015384,"RanksumsResult(statistic=-3.6905117945841788, pvalue=0.00022380331086672918)"
Variable `score` in subset `Top_Ten`,10211,2980953,13.349631973224907,36.075440854,66278,5282156,86.6503680267751,63.924559146,76489,8263109.0,100.0,100.0,291.935461757,5.0,79.6969733547,1.0,108.030030462,1.0,68543,1765.9269763,81540,916.401405556,81540.0,1072.00796513,212.238488402,1.87148756402e-32,15.0863909499,0.198432562045,0.5739527491697121,0.24629501264529685,"RanksumsResult(statistic=53.382334112761434, pvalue=0.0)"
Variable `num_comments` in subset `Top_Ten`,10211,334730,13.345095732862838,21.1202376461,66304,1250148,86.65490426713717,78.8797623539,76515,1584878.0,100.0,100.0,32.7813142689,2.0,18.8547900579,1.0,20.7132980461,1.0,8533,209.03136069,33397,277.367882866,33397.0,269.294665574,13.926524211,2.4066218079e-09,5.67068311277,0.0517228153921,0.471656296000906,0.3802252163826844,"RanksumsResult(statistic=14.896435100559744, pvalue=3.476392902771731e-50)"
Variable `day_of_week` in subset `Top_Ten`,10211,29704,13.340736869610662,13.3638666313,66329,192567,86.65926313038935,86.6361333687,76540,222271.0,100.0,100.0,2.90901968465,3.0,2.90320975742,3.0,2.90398484453,3.0,6,1.95479415357,6,1.9674207532,6.0,1.96574195264,0.00580992723247,0.779995958862,0.296255930129,0.00295559147955,0.42911325247354837,0.42727009157715234,"RanksumsResult(statistic=0.30030507556651614, pvalue=0.76394446206650657)"
Variable `day_of_month` in subset `Top_Ten`,10211,160193,13.335335832103537,13.1784048991,66360,1055379,86.66466416789646,86.8215951009,76571,1215572.0,100.0,100.0,15.688277348,16.0,15.9038426763,16.0,15.8750963158,16.0,30,8.7566630998,30,8.81916256752,30.0,8.81115842521,-0.215565328353,0.0207121567587,-2.45295975878,-0.0244658845077,0.47669273565855685,0.49088702311309723,"RanksumsResult(statistic=-2.3127386317440441, pvalue=0.020737013655551362)"
Variable `hour` in subset `Top_Ten`,10211,126958,13.329939166079216,13.4847953775,66391,814532,86.67006083392079,86.5152046225,76602,941490.0,100.0,100.0,12.4334541181,14.0,12.2687111205,14.0,12.2906712618,14.0,23,7.26105364372,23,7.16316085018,23.0,7.17650549995,0.164742997625,0.0325243287416,2.28420346708,0.0229565786235,0.48523899187698966,0.47061975079508855,"RanksumsResult(statistic=2.3820523924671542, pvalue=0.017216447797097391)"
