,basic,,,,,,,,,,,,central_tendencies,,,,,,dispersion,,,,,,Hypothesis Testing,,,,,,
,"Treatment, num_items","Treatment, sum","Treatment, percent_of_total_items","Treatment, percent_of_total_sum","Control, num_items","Control, sum","Control, percent_of_total_items","Control, percent_of_total_sum","All groups, num_items","All groups, sum","All groups, percent_of_total_items","All groups, percent_of_total_sum","Treatment, mean","Treatment, median","Control, mean","Control, median","All groups, mean","All groups, median","Treatment, range","Treatment, standard deviation","Control, range","Control, standard deviation","All groups, range","All groups, standard deviation","Treatment vs Control, Difference","Treatment vs Control, p_value","Treatment vs Control, percent_bias","Treatment vs Control, cohen's d effect size","Treatment vs Control, CLES","Treatment vs Control, CLES flipped (treatment=lesser)","Treatment vs Control, Wilcoxon rank-sum statistic"
Variable `score` in subset `All SO`,472,1706,3.772077039878526,2.40664719906,12041,69181,96.22792296012148,97.5933528009,12513,70887.0,100.0,100.0,3.61440677966,1.0,5.74545303546,2.0,5.66506832894,1.0,188,11.2194804513,3776,50.4455366169,3776.0,49.534585513,-2.1310462558,0.00210575663323,-5.83177958997,-0.0430228257871,0.38591521341630786,0.44154981074548966,"RanksumsResult(statistic=-2.0535712643724633, pvalue=0.040017205739845449)"
Variable `num_comments` in subset `All SO`,472,650,3.772077039878526,3.02452189289,12041,20841,96.22792296012148,96.9754781071,12513,21491.0,100.0,100.0,1.37711864407,0.0,1.73083630928,1.0,1.71749380644,1.0,17,2.2637868011,31,2.66401427399,31.0,2.6508713746,-0.353717665209,0.00102285683066,-14.3088881675,-0.133477626868,0.3159049448283337,0.3923981833256149,"RanksumsResult(statistic=-2.823500556090325, pvalue=0.0047502343538145444)"
Variable `day_of_week` in subset `All SO`,472,1279,3.772077039878526,3.83888105172,12041,32038,96.22792296012148,96.1611189483,12513,33317.0,100.0,100.0,2.70974576271,3.0,2.66074246325,3.0,2.66259090546,3.0,6,1.7893488835,6,1.87228491154,6.0,1.86924660172,0.0490032994613,0.560812839905,2.67589481272,0.0262158618575,0.43411370613680095,0.41520215534775956,"RanksumsResult(statistic=0.69805874634640686, pvalue=0.4851404559379352)"
Variable `day_of_month` in subset `All SO`,472,7500,3.772077039878526,3.78552717251,12041,190623,96.22792296012148,96.2144728275,12513,198123.0,100.0,100.0,15.8898305085,16.0,15.8311602026,16.0,15.8333732918,16.0,30,9.05073636699,30,8.76213431848,30.0,8.7732000356,0.0586703058336,0.890157997563,0.65865415943,0.00668745192355,0.48607283166694587,0.4814151930058177,"RanksumsResult(statistic=0.17192167057001456, pvalue=0.86349910959163712)"
Variable `hour` in subset `All SO`,472,6210,3.772077039878526,3.92211352024,12041,152123,96.22792296012148,96.0778864798,12513,158333.0,100.0,100.0,13.156779661,14.0,12.6337513496,13.0,12.6534803804,13.0,23,6.42433111751,23,6.34066556587,23.0,6.34462409047,0.523028311461,0.0834986835509,8.19455093435,0.0824466231917,0.5020931309551124,0.4535263696494604,"RanksumsResult(statistic=1.7926849516103116, pvalue=0.073023314076783627)"
Variable `seconds_since_user_creation` in subset `All SO`,472,30568032752,3.772077039878526,3.93702765331,12041,745856098440,96.22792296012148,96.0629723467,12513,776424131192.0,100.0,100.0,64762781.2542,50365947.0,61943036.1631,48213058.0,62049399.1203,48299296.0,259010678,60009871.4088,293094095,54235182.4136,293094095.0,54466770.839,2819745.09113,0.315936269056,4.9300161907,0.0517725250587,0.4990289181454888,0.5009140732440996,"RanksumsResult(statistic=-0.069584404763217714, pvalue=0.94452445004569319)"
Variable `num_pageviews` in subset `All SO`,472,6239850,3.772077039878526,5.70102820789,12041,103211459,96.22792296012148,94.2989717921,12513,109451309.0,100.0,100.0,13220.0211864,496.0,8571.66838302,557.0,8747.00783185,554.0,561110,60285.0532878,2701070,65065.8453107,2701070.0,64897.9456344,4648.35280342,0.10234033034,7.41115665332,0.0716322468793,0.49376758645250196,0.5054839116070938,"RanksumsResult(statistic=-0.43247025801504019, pvalue=0.66539966416704954)"
