,basic,,,,,,,,,,,,central_tendencies,,,,,,dispersion,,,,,,Hypothesis Testing,,,,,,
,"Treatment, num_items","Treatment, sum","Treatment, percent_of_total_items","Treatment, percent_of_total_sum","Control, num_items","Control, sum","Control, percent_of_total_items","Control, percent_of_total_sum","All groups, num_items","All groups, sum","All groups, percent_of_total_items","All groups, percent_of_total_sum","Treatment, mean","Treatment, median","Control, mean","Control, median","All groups, mean","All groups, median","Treatment, range","Treatment, standard deviation","Control, range","Control, standard deviation","All groups, range","All groups, standard deviation","Treatment vs Control, Difference","Treatment vs Control, p_value","Treatment vs Control, percent_bias","Treatment vs Control, cohen's d effect size","Treatment vs Control, CLES","Treatment vs Control, CLES flipped (treatment=lesser)","Treatment vs Control, Wilcoxon rank-sum statistic"
Variable `num_edits vs num_edits_prev_week` in subset `All SO`,11902,131093,50.0,88.6092804759,11902,16852,50.0,11.3907195241,23804,147945.0,100.0,100.0,11.0143673332,2.0,1.41589648799,0.0,6.2151319106,1.0,584,32.9423128984,128,3.75476297962,584.0,23.9307286288,9.59847084524,9.73419737238e-221,40.9411535273,0.409411535273,0.5709834327001606,0.19518319680177565,"RanksumsResult(statistic=50.211538528173648, pvalue=0.0)"
Variable `norm_change_edits` in subset `All SO`,8821,4774.38260054,50.0,50.0,8821,4774.38260054,50.0,50.0,17642,9548.76520107,100.0,100.0,0.541251853592,0.945945945946,0.541251853592,0.945945945946,0.541251853592,0.945945945946,2.0,0.66093337081,2.0,0.66093337081,2.0,0.66093337081,0.0,nan,0.0,0.0,0.3806727977434172,0.3806727977434172,"RanksumsResult(statistic=0.0, pvalue=1.0)"
Variable `num_new_editors vs num_new_editors_prev_week` in subset `All SO`,11902,14029,50.0,96.1812697107,11902,557,50.0,3.81873028932,23804,14586.0,100.0,100.0,1.17870946059,0.0,0.0467988573349,0.0,0.612754158965,0.0,93,5.15890074005,10,0.369494315391,93.0,3.70076976464,1.13191060326,6.50815504523e-124,30.9498734584,0.309498734584,0.24672528698141752,0.021301870953570553,"RanksumsResult(statistic=30.119343890181415, pvalue=2.7045540687453127e-199)"
Variable `num_new_editors_retained vs num_new_editors_retained_prev_week` in subset `All SO`,11902,9201,50.0,98.543429367,11902,136,50.0,1.45657063297,23804,9337.0,100.0,100.0,0.773063350697,0.0,0.011426650983,0.0,0.39224500084,0.0,77,3.90569004524,10,0.185249625051,77.0,2.79094763335,0.761636699714,1.56687141133e-98,27.5471785673,0.275471785673,0.18374083893159734,0.005783162900312785,"RanksumsResult(statistic=23.777336608285747, pvalue=5.7315343576253241e-125)"
Variable `percent_new_editors` in subset `All SO`,7962,63048.7558133,50.0,50.0,7962,63048.7558133,50.0,50.0,15924,126097.511627,100.0,100.0,7.91870834128,0.0,7.91870834128,0.0,7.91870834128,0.0,100.0,16.3635034298,100.0,16.3635034298,100.0,16.3635034298,0.0,nan,0.0,0.0,0.3026322564207113,0.3026322564207113,"RanksumsResult(statistic=0.0, pvalue=1.0)"
Variable `percent_active_editors` in subset `All SO`,7962,454487.7744,50.0,50.0,7962,454487.7744,50.0,50.0,15924,908975.5488,100.0,100.0,57.0821118312,55.5555555556,57.0821118312,55.5555555556,57.0821118312,55.5555555556,100.0,31.4531585572,100.0,31.4531585572,100.0,31.4531585572,0.0,nan,0.0,0.0,0.4594355214397249,0.4594355214397249,"RanksumsResult(statistic=0.0, pvalue=1.0)"
Variable `percent_inactive_editors` in subset `All SO`,7962,341712.2256,50.0,50.0,7962,341712.2256,50.0,50.0,15924,683424.4512,100.0,100.0,42.9178881688,44.4444444444,42.9178881688,44.4444444444,42.9178881688,44.4444444444,100.0,31.4531585572,100.0,31.4531585572,100.0,31.4531585572,0.0,nan,0.0,0.0,0.4594355214397249,0.4594355214397249,"RanksumsResult(statistic=0.0, pvalue=1.0)"
Variable `num_active_edits vs num_active_edits_prev_week` in subset `All SO`,11902,70193,50.0,88.019612023,11902,9554,50.0,11.980387977,23804,79747.0,100.0,100.0,5.89758023862,1.0,0.802722231558,0.0,3.35015123509,0.0,289,16.655085696,117,2.67968439103,289.0,12.1973639987,5.09485800706,4.26826981363e-240,42.7120632407,0.427120632407,0.5175870191903006,0.16142043458535413,"RanksumsResult(statistic=47.588240977514893, pvalue=0.0)"
Variable `num_inactive_edits vs num_inactive_edits_prev_week` in subset `All SO`,11902,60900,50.0,89.2988064166,11902,7298,50.0,10.7011935834,23804,68198.0,100.0,100.0,5.11678709461,1.0,0.613174256427,0.0,2.86498067552,0.0,295,17.0532779504,56,1.72361532727,295.0,12.3273355383,4.50361283818,4.70210707857e-183,37.1587533138,0.371587533138,0.4711310873223579,0.15278000890089882,"RanksumsResult(statistic=42.535623750824321, pvalue=0.0)"
Variable `num_major_edits vs num_major_edits_prev_week` in subset `All SO`,11902,0,50.0,nan,11902,0,50.0,nan,23804,0.0,100.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,"RanksumsResult(statistic=0.0, pvalue=1.0)"
Variable `num_minor_edits vs num_minor_edits_prev_week` in subset `All SO`,11902,131093,50.0,88.6092804759,11902,16852,50.0,11.3907195241,23804,147945.0,100.0,100.0,11.0143673332,2.0,1.41589648799,0.0,6.2151319106,1.0,584,32.9423128984,128,3.75476297962,584.0,23.9307286288,9.59847084524,9.73419737238e-221,40.9411535273,0.409411535273,0.5709834327001606,0.19518319680177565,"RanksumsResult(statistic=50.211538528173648, pvalue=0.0)"
Variable `percent_of_revs_preceding_post` in subset `All SO`,8821,4686.25775744,50.0,50.0,8821,4686.25775744,50.0,50.0,17642,9372.51551488,100.0,100.0,0.531261507475,0.0,0.531261507475,0.0,0.531261507475,0.0,100.0,5.63763265909,100.0,5.63763265909,100.0,5.63763265909,0.0,nan,0.0,0.0,0.02196629095723006,0.02196629095723006,"RanksumsResult(statistic=0.0, pvalue=1.0)"
